,name,type,rating,review_count,price,address,label,dine_in,takeaway,delivery,drive_through,no_del_exp,curb_pickup,postal_code,municipality,neighborhood
418,Leitaria Lisboa,brunch,4.2,846.0,2,"R. Artilharia 1 87A, 1070-012 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1070-012,Lisboa,Campolide
419,Tease,cafe,4.4,716.0,2,"R. Quintinha 70B, 1200-420 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1200-420,Lisboa,Mercês
420,Doce Real,pastry,4.5,119.0,1,"Portugal, R. Dom Pedro V 119, 1250-096 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1250-096,Lisboa,Santa Isabel
421,Balcão do Marquês,pastry,4.2,391.0,1,"113 ao 119, Av. Duque de Loulé, 1050-089 Lisboa, Portugal","['dine-in', 'curbside pickup', 'no-contact delivery']",1,0,1,0,0,1,1050-089,Lisboa,Coração de Jesus
422,Pastelaria Continental Lda,pastry,4.3,133.0,1,"R. da Palma 187, 1100-087 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-087,Lisboa,Anjos
423,Vontadinhas,pastry,4.1,107.0,1,"R. Castilho 75A, 1250-096 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1250-096,Lisboa,Santa Isabel
424,Tebas,pastry,4.2,381.0,1,"R. Heliodoro Salgado 2A, 1170-174 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1170-174,Lisboa,Anjos
425,Leitaria Baiana,brunch,4.1,364.0,1,"61,, Av. da Liberdade 59, Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-083,Lisboa,Anjos
426,Leitaria Anita,cafe,4.5,27.0,1,"Rua do Salvador 46, 1100-466 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-466,Lisboa,São Miguel
427,Bomercado,veggie_healthy,4.7,122.0,1,"R. dos Cavaleiros 10, 1100-132 Lisboa, Portugal","['in-store shopping', 'curbside pickup', 'delivery']",0,0,1,0,0,1,1100-132,Lisboa,Socorro
428,Brick Café Lisboa,brunch,4.4,1647.0,2,"Rua de Moçambique 2, 1170-245 Lisboa","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1170-245,Lisboa,Anjos
429,Hard Rock Cafe,grill,4.4,14763.0,2,"Av. da Liberdade 2, 1250-144 Lisboa","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1250-144,Lisboa,Coração de Jesus
430,Nicola,cafe,3.5,1627.0,2,"Praça Dom Pedro IV 24, 1100-200 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-200,Lisboa,Santa Justa
431,Tazza in Giro,italian,4.7,138.0,1,"Campo de Santa Clara 138 139, 1100-474 Lisboa","['dine-in', 'curbside pickup', 'delivery']",1,0,1,0,0,1,1100-474,Lisboa,São Vicente de Fora
432,Mercearia da Mila,brunch,4.6,321.0,2,"R. Santos-O-Velho 38, 1200-812 Lisboa","['dine-in', 'curbside pickup', 'delivery']",1,0,1,0,0,1,1200-812,Lisboa,Santos-o-Velho
433,Delidelux Avenida,brunch,4.1,340.0,2,"R. Alexandre Herculano 15A, 1250-096 Lisboa","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1250-096,Lisboa,Santa Isabel
434,Groove Bar,bar,4.5,299.0,2,"R. da Rosa 148, 1200-211 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-211,Lisboa,Encarnação
435,Monkey Mash,bar,4.5,210.0,1,"Praça da Alegria 66, 1250-096 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1250-096,Lisboa,Santa Isabel
436,Foxtrot,bar,4.6,1902.0,2,"Tv. Santa Teresa 28, 1200-405 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-405,Lisboa,Mercês
437,Duque Brewpub,bar,4.6,539.0,2,"Calçada do Duque 51, 1200-156 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-156,Lisboa,Encarnação
438,Antiga Wine Bar,bar,4.7,175.0,2,"de à, R. Santo António da Sé 10, 1100-500 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-500,Lisboa,Madalena
439,Shelter Bar Lisboa,bar,4.3,134.0,1,"R. da Palmeira 43 A, 1200-312 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-312,Lisboa,Mercês
440,Camone Bar,bar,4.6,119.0,1,"R. da Atalaia 29, 1200-036 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-036,Lisboa,Encarnação
441,Spot Lisboa,bar,4.2,280.0,2,"R. Nova do Almada 14, 1200-289 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-289,Lisboa,Mártires
442,Ritz Bar,bar,4.5,34.0,1,"R. Rodrigo da Fonseca 88, 1099-039 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1099-039,Lisboa,São Mamede
443,Snob Bar,bar,4.5,66.0,1,"Rua de O Século 178, 1200-437 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-437,Lisboa,Mercês
444,Água De Beber,bar,4.5,570.0,1,"R. Poiais de São Bento 73, 1200-346 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-346,Lisboa,Mercês
445,Tapas Bar 52,european,3.8,1655.0,2,"R. Dom Pedro V 52, 1250-092 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1250-092,Lisboa,Encarnação
446,Grau Douro Tapas & Wine Bar,european,4.9,300.0,1,"R. Duques de Bragança 5M, 1200-162 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1200-162,Lisboa,Encarnação
447,Dcosta's Shisha & Bar,bar,4.7,113.0,1,"R. Maria 68A, 1170-213 Lisboa, Portugal","['dine-in', 'takeaway', 'no-contact delivery']",1,1,1,0,0,0,1170-213,Lisboa,Anjos
448,A Tabacaria,bar,4.7,355.0,2,"Rua de S. Paulo 75 77, 1200-426 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-426,Lisboa,São Paulo
449,Soul - kitchen & bar,bistro,4.5,108.0,1,"R. Cecílio de Sousa n.76, 1200-098 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-098,Lisboa,Mercês
450,BytheWine,bar,4.5,1653.0,2,"Rua das Flores 41 43, 1200-193 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-193,Lisboa,Encarnação
451,Silk Club,bar,4.1,817.0,3,"Edifício Espaço Chiado, R. da Misericórdia 14, 1200-273 Lisboa, Portugal","['dine-in', 'no takeaway', 'no delivery']",1,1,0,0,1,0,1200-273,Lisboa,Encarnação
452,Love Lisbon Martim Moniz,bar,4.3,366.0,2,"R. José António Serrano, 1100-143 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1100-143,Lisboa,Santiago
453,Paráguas Bar Tapas e Petiscos,european,4.7,211.0,2,"Tv. dos Pescadores 37, 1200-328 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-328,Lisboa,São Paulo
454,Tágide Wine & Tapas Bar,european,4.3,120.0,1,"Largo da Academia Nacional de Belas Artes 19, 1200-289 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-289,Lisboa,Mártires
455,York Burger,burger,4.6,153.0,1,"R. de São João da Praça 14, 1100-520 Lisboa","['dine-in', 'takeaway']",1,1,0,0,0,0,1100-520,Lisboa,Sé
456,Gazzo - Cucina & Bar,italian,4.8,76.0,1,"Largo do Terreirinho 35, 1100-595 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-595,Lisboa,Socorro
457,Burger Bar & Blues Lisboa,burger,4.2,106.0,1,"Rua de S. Paulo 222, 1200-058 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-058,Lisboa,São Paulo
458,Roots Restaurante & Tapas Bar,european,4.2,204.0,1,"R. da Silva 28, 1200-447 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-447,Lisboa,São Paulo
459,Mensagem - Restaurante e Bar Panorâmico,bar,4.5,190.0,2,"R. da Oliveira ao Carmo 8, 1200-309 Lisboa, Portugal","['dine-in', 'no delivery']",1,0,0,0,1,0,1200-309,Lisboa,Sacramento
