type_of_food,neighborhood,price,outputs
asian,São Cristóvão,2,0.8
veggie_healthy,São Mamede,3,0.8
italian,São Cristóvão,4,0.8
italian,São Cristóvão,2,0.8
africa_me,São Cristóvão,3,0.8
veggie_healthy,São Mamede,2,0.8
burger,São Cristóvão,3,0.8
bar,São Mamede,3,0.8
portuguese,São Cristóvão,2,0.8
fast_food,São Cristóvão,3,0.8
pizza,São Mamede,3,0.8
pasta,São Mamede,3,0.8
brunch,São Mamede,3,0.8
bar,São Mamede,2,0.8
european,São Cristóvão,3,0.8
chicken,São Cristóvão,4,0.8
brunch,São Mamede,1,0.8
pasta,São Mamede,1,0.8
chicken,São Cristóvão,3,0.8
bar,São Cristóvão,2,0.8
seafood,São Cristóvão,2,0.8
pasta,São Mamede,2,0.8
japanese,São Mamede,2,0.8
veggie_healthy,São Mamede,1,0.8
brunch,São Mamede,2,0.8
indian_nepalese,São Mamede,3,0.8
south_america,São Cristóvão,4,0.8
pizza,São Mamede,1,0.8
bar,São Mamede,1,0.8
veggie_healthy,São Cristóvão,4,0.8
bistro,São Cristóvão,4,0.8
bistro,São Cristóvão,3,0.8
grill,São Cristóvão,4,0.8
portuguese,São Mamede,3,0.8
portuguese,São Mamede,1,0.8
fado,São Cristóvão,4,0.8
fado,São Cristóvão,2,0.8
portuguese,São Mamede,2,0.8
indian_nepalese,São Cristóvão,4,0.8
bistro,São Mamede,1,0.8
brunch,Sacramento,2,0.8
pizza,Mártires,2,0.8
italian,São José,1,0.8
pasta,São José,1,0.8
japanese,São José,3,0.8
pizza,São José,1,0.8
portuguese,São José,1,0.8
indian_nepalese,São José,1,0.8
grill,São José,1,0.8
bistro,São José,1,0.8
veggie_healthy,São José,1,0.8
south_america,São José,1,0.8
seafood,São José,1,0.8
chicken,São José,1,0.8
european,São José,3,0.8
european,São José,2,0.8
mediterranean,São José,3,0.8
mediterranean,São José,1,0.8
mediterranean,São José,2,0.8
brunch,São José,3,0.8
brunch,São José,1,0.8
fado,Coração de Jesus,3,0.8
fado,Coração de Jesus,2,0.8
fast_food,Coração de Jesus,2,0.8
pastry,Coração de Jesus,1,0.8
asian,Coração de Jesus,3,0.8
burger,São José,1,0.8
asian,São José,1,0.8
italian,Coração de Jesus,1,0.8
asian,São José,3,0.8
veggie_healthy,Sacramento,4,0.8
veggie_healthy,Sacramento,2,0.8
south_america,Sacramento,4,0.8
south_america,Sacramento,1,0.8
seafood,Sacramento,1,0.8
bar,Sacramento,4,0.8
chicken,Sacramento,4,0.8
chicken,Sacramento,2,0.8
european,Sacramento,4,0.8
european,Sacramento,1,0.8
european,Sacramento,2,0.8
mediterranean,Sacramento,3,0.8
mediterranean,Sacramento,4,0.8
mediterranean,Sacramento,2,0.8
cafe,Sacramento,4,0.8
cafe,Sacramento,1,0.8
cafe,Sacramento,2,0.8
brunch,Sacramento,3,0.8
brunch,Sacramento,4,0.8
fado,São José,1,0.8
fast_food,São José,1,0.8
pastry,São José,1,0.8
pastry,São José,2,0.8
asian,Coração de Jesus,2,0.8
burger,Coração de Jesus,3,0.8
bistro,Sacramento,4,0.8
asian,Mercês,1,0.8
mexican,Mercês,1,0.8
pasta,Mercês,1,0.8
japanese,Mercês,1,0.8
pizza,Mercês,1,0.8
portuguese,Mercês,1,0.8
bistro,Mercês,1,0.8
bistro,Mercês,2,0.8
south_america,Mercês,3,0.8
south_america,Mercês,1,0.8
seafood,Mercês,1,0.8
bar,Mercês,1,0.8
cafe,Mercês,3,0.8
cafe,Mercês,1,0.8
cafe,Mercês,2,0.8
fado,Santos-o-Velho,2,0.8
fast_food,Santos-o-Velho,2,0.8
pastry,Santos-o-Velho,2,0.8
asian,Santos-o-Velho,3,0.8
asian,Santos-o-Velho,2,0.8
italian,Santos-o-Velho,2,0.8
burger,Santos-o-Velho,3,0.8
burger,Santos-o-Velho,2,0.8
mexican,Santos-o-Velho,3,0.8
burger,Mercês,1,0.8
fast_food,Mercês,1,0.8
africa_me,Coração de Jesus,3,0.8
fado,Mercês,1,0.8
africa_me,Coração de Jesus,2,0.8
mexican,Coração de Jesus,3,0.8
mexican,Coração de Jesus,2,0.8
pasta,Coração de Jesus,3,0.8
pasta,Coração de Jesus,2,0.8
japanese,Coração de Jesus,2,0.8
pizza,Coração de Jesus,3,0.8
pizza,Coração de Jesus,2,0.8
portuguese,Coração de Jesus,3,0.8
portuguese,Coração de Jesus,1,0.8
indian_nepalese,Coração de Jesus,3,0.8
indian_nepalese,Coração de Jesus,2,0.8
veggie_healthy,Coração de Jesus,3,0.8
veggie_healthy,Coração de Jesus,2,0.8
south_america,Coração de Jesus,3,0.8
south_america,Coração de Jesus,2,0.8
seafood,Coração de Jesus,1,0.8
bar,Coração de Jesus,2,0.8
chicken,Coração de Jesus,3,0.8
chicken,Coração de Jesus,2,0.8
mediterranean,Coração de Jesus,3,0.8
mediterranean,Coração de Jesus,2,0.8
brunch,Coração de Jesus,2,0.8
bistro,Sacramento,1,0.8
grill,Sacramento,4,0.8
portuguese,Mártires,3,0.8
mediterranean,Mártires,1,0.8
cafe,Mártires,3,0.8
cafe,Mártires,1,0.8
cafe,Mártires,2,0.8
brunch,Mártires,3,0.8
brunch,Mártires,1,0.8
brunch,Mártires,2,0.8
fado,São Miguel,4,0.8
fado,São Miguel,1,0.8
fado,São Miguel,2,0.8
fast_food,São Miguel,3,0.8
fast_food,São Miguel,4,0.8
pastry,São Miguel,4,0.8
pastry,São Miguel,2,0.8
asian,São Miguel,4,0.8
asian,São Miguel,2,0.8
italian,São Miguel,3,0.8
italian,São Miguel,4,0.8
italian,São Miguel,2,0.8
burger,São Miguel,3,0.8
burger,São Miguel,4,0.8
burger,São Miguel,2,0.8
africa_me,São Miguel,3,0.8
africa_me,São Miguel,4,0.8
mediterranean,Mártires,2,0.8
mediterranean,Mártires,3,0.8
mexican,São Miguel,4,0.8
european,Mártires,2,0.8
portuguese,Mártires,4,0.8
portuguese,Mártires,1,0.8
portuguese,Mártires,2,0.8
indian_nepalese,Mártires,3,0.8
indian_nepalese,Mártires,2,0.8
grill,Mártires,3,0.8
grill,Mártires,2,0.8
bistro,Mártires,3,0.8
