,name,type,rating,review_count,price,address,label
64,Sanskar Nepal,indian_nepalese,4.7,915.0,1.0,"das, R. Chagas 25 27, 1200-106 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
65,Restaurante Floresta das Escadinhas,grill,4.6,1041.0,1.0,"R. de Santa Justa 3, 1100-213 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No delivery']"
66,Sucolento,chicken,4.7,455.0,,"R. do Instituto Industrial 7H, 1200-225 Lisboa, Portugal","['Dine-in', 'Takeaway']"
67,"LOOP restaurante, café, mercearia",japanese,4.9,27.0,,"Largo Agostinho da Silva 1, 1200-009 Lisboa, Portugal","['Dine-in', 'Takeaway']"
68,Versículo d'O Faia,portuguese,4.7,481.0,2.0,"R. da Barroca 60A, 1200-050 Lisboa, Portugal","['Dine-in', 'No delivery']"
69,Lugar Marcado,pasta,4.6,210.0,,"Rua Regedor 7 entre o Largo do Caldas e o, Largo São Cristóvão n, 1100-433 Lisboa, Portugal","['Dine-in', 'No delivery']"
70,Adega Dom Luis,european,4.7,206.0,2.0,"Rua Luís Fernandes 24, 1200-424 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
71,Estórias na Casa da Comida,european,4.5,372.0,3.0,"Travessa das Amoreiras 1, 1250-025 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
72,da Prata 52,european,4.7,1211.0,2.0,"Rua da Prata 52, 1100-150 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
73,Taberna da Rua das Flores,european,4.3,1342.0,2.0,"Rua das Flores 103, 1200-194 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
74,Sr. Lisboa,european,4.5,1084.0,2.0,"R. São José n134 136, 1150-325 Lisboa, Portugal","['Dine-in', 'Takeaway']"
75,Clube de Jornalistas,european,4.6,660.0,3.0,"R. das Trinas 129, 1200-857 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
76,HAWAII POKE-IN,mexican,4.9,211.0,1.0,"R. das Taipas 37, 1250-092 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
77,Bairrices,european,4.6,463.0,2.0,"Tv. do Carvalho 27, 1200-097 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
78,Organi Chiado,veggie_healthy,4.7,1204.0,2.0,"Calçada Nova de São Francisco 2, 1200-300 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
79,Olá Nepal,indian_nepalese,4.6,1193.0,,"Rua do Conde de Redondo 121A, 1150-104 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
80,Dede's,brunch,4.9,202.0,,"R. de Sant'Ana à Lapa 33, 1200-796 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
81,Maruto,bistro,4.6,509.0,2.0,"R. Cais de Santarém 30, 1100-603 Lisboa, Portugal",['nan']
82,Akla,portuguese,4.4,128.0,,"R. Castilho 149D, 1099-034 Lisboa, Portugal","['Dine-in', 'No delivery']"
83,Leo Restaurant,africa_ME,4.6,443.0,1.0,"Rua do Zaire 17C, 1170-397 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
85,Café do Rio - Hamburgueria Gourmet,burger,4.6,1079.0,2.0,"Rua da Alfândega 114, 1100-016 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
86,Bistrô Gato pardo,bistro,4.6,623.0,2.0,"R. de São Vicente nr 10, 1100-574 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
87,M’arrecreo Pizzeria,pizza,4.7,528.0,2.0,"R. de São Pedro de Alcântara 35, 1200-270 Lisboa, Portugal","['Dine-in', 'Delivery']"
88,IIIMPAR,grill,4.6,612.0,2.0,"R. Nova de São Mamede 23, 1250-172 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
90,Solar dos Presuntos,seafood,4.5,2900.0,,"junto ao Elevador do Lavra, R. das Portas de Santo Antão 150, 1150-269 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No-contact delivery']"
91,O Coradinho,burger,4.3,477.0,1.0,"R. de Santa Marta 4, 1150-295 Lisboa, Portugal","['Dine-in', 'Takeaway']"
92,Al Garage,italian,4.4,2470.0,2.0,"R. Castilho 63, 1250-068 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
93,Mattë Lisboa,japanese,4.6,106.0,,"Calçada Marquês Abrantes 22, 1200-719 Lisboa, Portugal","['Dine-in', 'No delivery']"
95,Boi-Cavalo Restaurante,portuguese,4.1,233.0,,"R. do Vigário 70B, 1100-616 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
96,Lisboète,european,4.6,146.0,,"Calçada Marquês Abrantes 94, 1200-720 Lisboa, Portugal","['Dine-in', 'No delivery']"
99,Carmo,bar,4.3,921.0,2.0,"Largo do Carmo 11, 1200-022 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
100,Leve Leve - Tapas Bar,european,4.6,1119.0,1.0,"Tv. da Boa Hora 39, 1200-011 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
101,Tágide,european,4.3,481.0,2.0,"Largo da Academia Nacional de Belas Artes 18-20, 1200-005 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
102,Pizzeria Romana BIO,pizza,4.6,845.0,,"R. de São João da Praça 75, 1100-519 Lisboa, Portugal","['Dine-in', 'Curbside pickup', 'No-contact delivery']"
103,Stasha,mediterranean,4.4,955.0,2.0,"R. das Gáveas 21 a 33, 1200-206 Lisboa, Portugal","['Dine-in', 'Takeaway']"
105,Legumi Sushi Vegan,veggie_healthy,4.7,295.0,,"Calçada do Combro 56, 1200-452 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
106,Bastardo,pasta,4.3,688.0,2.0,"Rua da Betesga, 1100-090 Lisboa, Portugal",['nan']
107,Taverna Alfacinha,mediterranean,4.5,531.0,,"R. dos Sapateiros, 1100-577 Lisboa, Portugal","['Dine-in', 'Takeaway']"
108,Mini Bar Theater José Avillez,bar,4.5,815.0,,"R. Nova da Trindade 18, 1200-235 Lisboa, Portugal","['Dine-in', 'No takeaway', 'No delivery']"
109,Flor de Lis,brunch,4.8,25.0,,"Av. Eng. Duarte Pacheco 15, 1070-100 Lisboa, Portugal","['Dine-in', 'Takeaway', 'No delivery']"
111,Forno d'Oro,italian,4.6,2604.0,2.0,"R. Artilharia 1 16b, 1250-039 Lisboa, Portugal","['Dine-in', 'Takeaway', 'Delivery']"
112,Season,european,4.7,257.0,,"R. Nova da Piedade 62, 1200-299 Lisboa, Portugal","['Dine-in', 'Takeaway']"
