,type_of_food,neighborhood,price,outputs
72,burger,Graça,2,1.0
63,pasta,Graça,3,1.0
73,burger,Graça,1,1.0
75,burger,Graça,3,1.0
848,asian,Santa Isabel,2,1.0
79,italian,Graça,3,1.0
80,asian,Graça,2,1.0
887,bar,Socorro,3,1.0
64,mexican,Graça,2,1.0
3606,pizza,Santa Maria dos Olivais,4,1.0
43,grill,Graça,3,1.0
52,pizza,Graça,2,1.0
44,indian_nepalese,Graça,2,1.0
47,indian_nepalese,Graça,3,1.0
48,portuguese,Graça,2,1.0
49,portuguese,Graça,1,1.0
1545,mediterranean,Mercês,1,1.0
51,portuguese,Graça,3,1.0
53,pizza,Graça,1,1.0
883,chicken,Socorro,3,1.0
54,pizza,Graça,4,1.0
55,pizza,Graça,3,1.0
56,japanese,Graça,2,1.0
856,fast_food,Santa Isabel,2,1.0
855,pastry,Santa Isabel,3,1.0
59,japanese,Graça,3,1.0
3407,indian_nepalese,Almargem do Bispo,3,1.0
655,italian,Alto do Pina,3,1.0
1792,mexican,São José,2,1.0
784,chicken,Santa Isabel,2,1.0
1823,fado,São José,3,1.0
234,grill,Santa Engrácia,4,1.0
1791,pasta,São José,3,1.0
792,seafood,Santa Isabel,2,1.0
1788,pasta,São José,2,1.0
783,european,Santa Isabel,3,1.0
1784,japanese,São José,2,1.0
1783,pizza,São José,3,1.0
2396,fado,Sé,2,1.0
275,asian,Santa Engrácia,3,1.0
2405,cafe,São Nicolau,1,1.0
1780,pizza,São José,2,1.0
1779,portuguese,São José,3,1.0
795,seafood,Santa Isabel,3,1.0
1776,portuguese,São José,2,1.0
222,south_america,Santa Engrácia,4,1.0
1775,indian_nepalese,São José,3,1.0
796,south_america,Santa Isabel,2,1.0
219,seafood,Santa Engrácia,3,1.0
278,pastry,Santa Engrácia,4,1.0
218,seafood,Santa Engrácia,4,1.0
279,pastry,Santa Engrácia,3,1.0
1772,indian_nepalese,São José,2,1.0
266,burger,Santa Engrácia,4,1.0
780,european,Santa Isabel,2,1.0
215,bar,Santa Engrácia,3,1.0
214,bar,Santa Engrácia,4,1.0
779,mediterranean,Santa Isabel,3,1.0
1768,grill,São José,2,1.0
1795,mexican,São José,3,1.0
1796,africa_me,São José,2,1.0
210,chicken,Santa Engrácia,4,1.0
238,indian_nepalese,Santa Engrácia,4,1.0
1816,fast_food,São José,2,1.0
262,africa_me,Santa Engrácia,4,1.0
1815,pastry,São José,3,1.0
267,burger,Santa Engrácia,3,1.0
1819,fast_food,São José,3,1.0
3227,japanese,São Domingos de Benfica,3,1.0
258,mexican,Santa Engrácia,4,1.0
787,chicken,Santa Isabel,3,1.0
788,bar,Santa Isabel,2,1.0
915,portuguese,Socorro,3,1.0
1820,fado,São José,2,1.0
254,pasta,Santa Engrácia,4,1.0
1808,asian,São José,2,1.0
1807,italian,São José,3,1.0
2399,fado,Sé,3,1.0
250,japanese,Santa Engrácia,4,1.0
1804,italian,São José,2,1.0
1803,burger,São José,3,1.0
247,pizza,Santa Engrácia,3,1.0
246,pizza,Santa Engrácia,4,1.0
791,bar,Santa Isabel,3,1.0
244,pizza,Santa Engrácia,2,1.0
1800,burger,São José,2,1.0
270,italian,Santa Engrácia,4,1.0
271,italian,Santa Engrácia,3,1.0
242,portuguese,Santa Engrácia,4,1.0
1799,africa_me,São José,3,1.0
1274,seafood,Madalena,4,1.0
239,indian_nepalese,Santa Engrácia,3,1.0
1767,bistro,São José,3,1.0
1771,grill,São José,3,1.0
264,burger,Santa Engrácia,2,1.0
3382,bar,Almargem do Bispo,4,1.0
804,bistro,Santa Isabel,2,1.0
198,cafe,Santa Engrácia,4,1.0
3385,seafood,Almargem do Bispo,1,1.0
1756,south_america,São José,2,1.0
1755,seafood,São José,3,1.0
911,indian_nepalese,Socorro,3,1.0
1735,cafe,São José,3,1.0
1244,fado,Pena,2,1.0
3383,bar,Almargem do Bispo,3,1.0
807,bistro,Santa Isabel,3,1.0
800,veggie_healthy,Santa Isabel,2,1.0
1752,seafood,São José,2,1.0
1751,bar,São José,3,1.0
775,cafe,Santa Isabel,3,1.0
1748,bar,São José,2,1.0
1747,chicken,São José,3,1.0
2409,mediterranean,São Nicolau,1,1.0
776,mediterranean,Santa Isabel,2,1.0
1744,chicken,São José,2,1.0
286,fado,Santa Engrácia,4,1.0
3386,seafood,Almargem do Bispo,4,1.0
199,cafe,Santa Engrácia,3,1.0
1759,south_america,São José,3,1.0
3391,south_america,Almargem do Bispo,3,1.0
1764,bistro,São José,2,1.0
207,european,Santa Engrácia,3,1.0
206,european,Santa Engrácia,4,1.0
1728,brunch,São José,2,1.0
1763,veggie_healthy,São José,3,1.0
799,south_america,Santa Isabel,3,1.0
907,grill,Socorro,3,1.0
282,fast_food,Santa Engrácia,4,1.0
1831,cafe,Sacramento,3,1.0
803,veggie_healthy,Santa Isabel,3,1.0
1760,veggie_healthy,São José,2,1.0
1732,cafe,São José,2,1.0
3387,seafood,Almargem do Bispo,3,1.0
202,mediterranean,Santa Engrácia,4,1.0
3389,south_america,Almargem do Bispo,1,1.0
3388,south_america,Almargem do Bispo,2,1.0
2072,japanese,Mártires,2,0.8
2281,burger,São Mamede,1,0.8
2215,cafe,São Mamede,3,0.8
2221,european,São Mamede,1,0.8
2118,cafe,São Cristóvão,4,0.8
2280,burger,São Mamede,2,0.8
2071,pizza,Mártires,3,0.8
2212,cafe,São Mamede,2,0.8
2219,mediterranean,São Mamede,3,0.8
2220,european,São Mamede,2,0.8
2116,cafe,São Cristóvão,2,0.8
2092,italian,Mártires,2,0.8
2075,japanese,Mártires,3,0.8
2104,fast_food,Mártires,2,0.8
2095,italian,Mártires,3,0.8
2096,asian,Mártires,2,0.8
2091,burger,Mártires,3,0.8
2088,burger,Mártires,2,0.8
2087,africa_me,Mártires,3,0.8
2099,asian,Mártires,3,0.8
2224,chicken,São Mamede,2,0.8
2100,pastry,Mártires,2,0.8
